Hours,ADX,MACD,Signal Line,Histogram,%K,%D,Open,High,Low,Close,Output
2655,44.8755741323,53.775565334,49.0078520192,4.76771331485,82.4913531076,76.8167418327,3987.05,4007.98,3982.0,3994.59,1.0
2656,46.297247925,55.7905720204,50.3643960194,5.42617600095,95.7238214435,78.8380412032,3994.58,4040.0,3990.0,4031.8,1.0
2657,47.6173735897,53.8776505123,51.067046918,2.8106035943,76.6850360322,81.1984938215,4031.82,4035.06,3990.0,3996.0,-1.0
2658,47.813535719,51.9428242537,51.2422023851,0.700621868549,75.2679258689,82.5608862304,3996.01,4009.0,3972.05,3998.23,1.0
2659,48.7443326538,54.2655350282,51.8468689137,2.41866611448,96.7017841072,83.2088203804,3998.83,4060.0,3993.48,4053.77,1.0
2660,49.9101598591,57.2402453498,52.925544201,4.31470114888,94.8608731886,84.9254525681,4054.85,4087.1,4054.0,4076.0,1.0
2661,50.6981987983,57.9317677346,53.9267889077,4.0049788269,87.0403092214,86.3414248382,4076.0,4080.0,4048.02,4063.63,-1.0
2662,51.4299492418,57.2063021644,54.582691559,2.62361060538,78.1419227794,86.7487853062,4063.75,4080.0,4051.1,4056.02,-1.0
2663,51.8322530631,55.5480450691,54.7757622611,0.772282808046,74.2646023927,86.5900673925,4055.62,4068.0,4046.0,4050.53,-1.0
2664,52.499511801,55.8917120734,54.9989522235,0.892759849881,92.6634528472,85.4976688374,4050.98,4088.8,4041.28,4079.06,1.0
2665,53.1191092004,54.0051638623,54.8001945513,-0.795030689007,76.7227434487,85.4702572032,4078.91,4084.8,4055.0,4060.02,-1.0
2666,53.6126672067,52.7811712312,54.3963898873,-1.61521865608,84.6852248394,84.5561490292,4060.0,4082.0,4053.66,4070.92,1.0
2667,53.2558245582,50.2554656515,53.5682050401,-3.31273938862,74.3211991435,84.4850957049,4070.88,4083.0,4040.21,4058.82,-1.0
2668,52.9244706702,47.3162323266,52.3178104974,-5.00157817078,70.1584582441,83.4361098162,4059.38,4064.0,4045.0,4053.96,-1.0
2669,52.6167849171,44.1662776439,50.6875039267,-6.52122628281,66.852248394,82.8377647617,4055.0,4057.93,4045.47,4050.1,-1.0
2670,52.6027216402,42.7067259392,49.0913483292,-6.38462238996,83.0835117773,81.7206858536,4050.12,4070.0,4048.01,4069.05,1.0
2671,52.6771251878,41.2815304335,47.5293847501,-6.2478543166,85.2847965739,80.8178065918,4068.02,4074.0,4060.34,4071.62,1.0
2672,52.4625129822,39.6920863143,45.9619250629,-6.26983874861,81.9450272765,81.4320752019,4072.25,4075.5,4056.51,4071.59,-1.0
2673,49.5621307216,34.1239225592,43.5943245622,-9.47040200294,16.5862944162,81.9090110167,4071.61,4077.5,4010.0,4023.07,-1.0
2674,46.8689186225,30.7884789043,41.0331554306,-10.2446765263,39.1116751269,76.1864760388,4022.11,4049.02,4011.0,4040.82,1.0
2675,44.4067120801,26.8950289877,38.205530142,-11.3105011543,24.3274111675,72.204390463,4040.74,4050.0,4020.46,4029.17,-1.0
2676,41.9916119251,20.0895621985,34.5823365533,-14.4927743548,3.39969947408,67.7248977448,4028.12,4033.4,3982.32,3985.94,-1.0
